日付,夜間HRV,ベースライン,7日平均
5月 6日,57ms,51ms - 88ms,52ms
5月 5日,41ms,51ms - 88ms,53ms
5月 4日,40ms,51ms - 89ms,55ms
5月 3日,57ms,51ms - 89ms,59ms
5月 2日,66ms,51ms - 90ms,58ms
5月 1日,44ms,51ms - 90ms,55ms
4月 30日,66ms,51ms - 90ms,55ms
4月 29日,63ms,51ms - 90ms,55ms
4月 28日,57ms,51ms - 91ms,55ms
4月 27日,59ms,52ms - 91ms,51ms
4月 26日,52ms,52ms - 92ms,48ms
4月 25日,45ms,52ms - 93ms,49ms
4月 24日,44ms,52ms - 92ms,52ms
4月 23日,67ms,52ms - 93ms,53ms
4月 22日,60ms,52ms - 90ms,58ms
4月 21日,35ms,52ms - 91ms,57ms
4月 20日,39ms,52ms - 91ms,60ms
4月 19日,61ms,53ms - 92ms,61ms
4月 18日,72ms,53ms - 93ms,58ms
4月 17日,51ms,53ms - 94ms,57ms
4月 16日,114ms,53ms - 94ms,56ms
4月 15日,55ms,53ms - 95ms,50ms
4月 14日,50ms,54ms - 96ms,49ms
4月 13日,43ms,54ms - 96ms,50ms
4月 12日,44ms,54ms - 97ms,52ms
4月 11日,61ms,54ms - 98ms,55ms
4月 10日,47ms,54ms - 98ms,56ms
4月 9日,52ms,54ms - 97ms,61ms